,Tweets,polarity
0,"Top #money flow today. Free stock apps https://t.co/7Cz8yP8vDT
$BSCQ, $IEFA, $HYG, $IBDR, $CTVA, $FB, $VZ, $EWA,… https://t.co/S37aOQo2IM","{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.6249}"
1,"$AMD $AAPL $SQ $AMZN 
$EA $SEDG $MA $V $KO $PYPL $RCL $GOOG $NKLA $DKNG $HD $ROKU $NFLX $FB  $GLD $VXX $MSFT

Thank… https://t.co/s7JlGzc2n1","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,"$OST closed down 88%!? BOUNCING! TINY FLOAT! No shares available to short!

$TSLA $AMZN $AAPL $AMC $NVDA $FB $MSFT… https://t.co/doAcit8Sm2","{'neg': 0.098, 'neu': 0.804, 'pos': 0.098, 'compound': 0.0}"
3,"RT @nobustocks: GAFAMTの決算が出揃ったので、業績をまとめてみました。

各社明暗が分かれましたね。 

• $AMZN $GOOG は、特に厳しい。
• $FB も良い決算内容とは思えなかったが、割安感から買われたか。
•この中で決算内容を見て投資するなら…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,RT @KillionTrades: earnings lotto port up 30% this morning from my earnings alerts yesterday. 5/5 earnings hit this week. Let’s goooo $X $A…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,Help me out Fintwit...Why should I pay up for declining margins and low revenue growth with $CL over $GOOG?,"{'neg': 0.154, 'neu': 0.614, 'pos': 0.232, 'compound': 0.4215}"
6,"Imposible imaginar más poder en una mesa de dos.

$AAPL $GOOG https://t.co/HT6F0i7pH1","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,RT @Hoefgeest: $Goog is al aan het crashen. Er kan nog een pullback volgen maar de diepte naar $1000 lonkt https://t.co/NUGEi6q7Sk,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,"Okay lots of buys today. $125 worth of $VOO. 2 shares of $SCHD. 1 share of $TROW, $JPM, $INTC. .1 shares of $GOOG","{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.8126}"
9,"$OST closed down 88%!? BOUNCING! TINY FLOAT! No shares available to short!💸

$roku $tsla $aapl $msft $aal $dal… https://t.co/xjXkMY8cmE","{'neg': 0.103, 'neu': 0.794, 'pos': 0.103, 'compound': 0.0}"
